arrive2 | time: 194.659775
arrive1 | time: 198.140228
arrive1 | time: 198.778061
depart1 | time: 198.990097
arrive1 | time: 199.970963
arrive1 | time: 200.081360
arrive2 | time: 200.103485
arrive1 | time: 201.464005
arrive1 | time: 202.923874
depart1 | time: 203.110733
depart1 | time: 203.222015
depart1 | time: 203.686646
depart1 | time: 203.739792
arrive2 | time: 204.067139
arrive1 | time: 204.149200
arrive1 | time: 204.399078
arrive1 | time: 204.416107
depart1 | time: 204.513947
arrive1 | time: 204.519989
arrive1 | time: 205.000549
arrive2 | time: 205.158737
arrive1 | time: 205.288620
depart1 | time: 205.991806
arrive2 | time: 206.054321
depart1 | time: 206.133591
arrive1 | time: 206.275848
arrive2 | time: 207.398712
depart1 | time: 208.066589
depart1 | time: 208.191910
arrive1 | time: 208.214920
arrive1 | time: 208.230606
depart1 | time: 208.617432
arrive2 | time: 208.995224
depart1 | time: 209.496704
arrive1 | time: 209.509308
arrive1 | time: 209.813797
depart1 | time: 210.170914
arrive2 | time: 211.264359
arrive1 | time: 211.513199
arrive1 | time: 212.382309
arrive1 | time: 212.488312
depart1 | time: 213.189209
arrive2 | time: 213.328400
arrive1 | time: 213.396622
arrive1 | time: 214.873306
depart1 | time: 215.063217
depart1 | time: 215.186661
depart1 | time: 215.207794
depart1 | time: 215.261398
arrive1 | time: 215.298157
arrive1 | time: 215.485764
depart1 | time: 215.579086
arrive1 | time: 215.934036
arrive1 | time: 216.073532
depart1 | time: 216.091782
depart1 | time: 216.318710
arrive1 | time: 216.495895
arrive2 | time: 216.823944
depart1 | time: 217.423462
depart1 | time: 217.752136
depart1 | time: 217.757767
arrive1 | time: 218.747879
depart1 | time: 219.206268
depart1 | time: 219.643402
arrive1 | time: 219.727371
depart1 | time: 219.951035
arrive1 | time: 220.026367
arrive1 | time: 220.493103
depart1 | time: 220.577637
depart1 | time: 221.473389
arrive2 | time: 222.002151
depart1 | time: 222.139313
depart1 | time: 222.174988
depart1 | time: 222.186081
depart1 | time: 222.243942
arrive1 | time: 223.230194
arrive1 | time: 223.655121
arrive2 | time: 223.785675
depart1 | time: 224.081329
depart1 | time: 224.094421
arrive2 | time: 224.176697
arrive1 | time: 225.455475
arrive1 | time: 225.469925
depart1 | time: 226.228928
depart1 | time: 226.607849
arrive2 | time: 226.886368
arrive1 | time: 228.737549
depart1 | time: 229.010361
arrive1 | time: 230.781281
depart1 | time: 230.891800
arrive1 | time: 232.366989
arrive1 | time: 232.378647
depart1 | time: 232.665451
arrive1 | time: 234.071701
arrive2 | time: 234.447327
arrive1 | time: 234.534866
arrive1 | time: 235.637802
arrive1 | time: 237.704254
depart1 | time: 238.516312
arrive1 | time: 238.681519
arrive2 | time: 239.320328
depart1 | time: 239.521667
depart1 | time: 239.617905
depart1 | time: 239.650055
arrive2 | time: 239.920135
depart1 | time: 240.092087
arrive1 | time: 240.326080
arrive1 | time: 240.730026
arrive2 | time: 240.928635
depart1 | time: 241.085190
arrive1 | time: 241.240021
depart1 | time: 242.067123
depart1 | time: 242.571304
arrive1 | time: 243.014191
arrive2 | time: 243.196609
depart1 | time: 243.229309
depart1 | time: 243.268204
arrive1 | time: 243.619843
arrive1 | time: 243.760239
arrive2 | time: 244.127167
arrive1 | time: 244.521164
depart1 | time: 244.626099
depart1 | time: 244.718796
arrive2 | time: 246.362915
arrive1 | time: 246.460510
depart1 | time: 247.847549
depart1 | time: 247.926941
arrive1 | time: 248.705261
arrive2 | time: 248.729156
arrive1 | time: 249.050095
depart1 | time: 249.657944
arrive2 | time: 250.283905
depart1 | time: 250.896362
arrive1 | time: 251.968918
arrive1 | time: 252.243134
depart1 | time: 252.896393
depart1 | time: 252.974258
arrive1 | time: 253.447266
arrive2 | time: 253.671494
arrive1 | time: 253.752045
depart1 | time: 254.784897
arrive2 | time: 255.689087
depart1 | time: 256.040253
arrive1 | time: 258.057465
depart1 | time: 258.911224
arrive1 | time: 259.979492
depart1 | time: 260.860565
arrive1 | time: 260.925781
depart1 | time: 261.003662
arrive1 | time: 261.411713
depart1 | time: 261.660797
arrive1 | time: 262.689209
depart1 | time: 262.763916
arrive1 | time: 262.798279
depart1 | time: 263.389648
arrive1 | time: 264.768890
depart1 | time: 265.645691
arrive1 | time: 265.780396
depart1 | time: 265.838318
arrive1 | time: 269.500427
arrive1 | time: 269.502991
depart1 | time: 269.674408
depart1 | time: 269.891846
arrive2 | time: 269.987640
arrive1 | time: 272.033783
arrive1 | time: 272.238892
depart1 | time: 272.246918
arrive2 | time: 272.888367
depart1 | time: 272.909088
arrive1 | time: 273.355194
depart1 | time: 273.371368
arrive1 | time: 274.377960
depart1 | time: 275.482269
arrive1 | time: 276.039948
depart1 | time: 276.615265
arrive1 | time: 277.408112
depart1 | time: 278.494171
arrive1 | time: 278.614380
depart1 | time: 279.202545
arrive1 | time: 279.579132
depart1 | time: 279.800659
arrive1 | time: 280.361481
depart1 | time: 281.038940
arrive1 | time: 281.216858
depart1 | time: 281.570221
arrive1 | time: 283.024658
depart1 | time: 283.139679
arrive1 | time: 284.542847
depart1 | time: 284.629761
arrive1 | time: 285.236237
depart1 | time: 285.470764
arrive1 | time: 285.822449
depart1 | time: 286.054260
arrive1 | time: 286.386719
arrive1 | time: 286.439484
arrive1 | time: 286.601593
arrive1 | time: 286.704651
arrive1 | time: 287.239563
depart1 | time: 287.648102
depart1 | time: 287.945007
arrive1 | time: 287.983185
arrive2 | time: 288.212708
arrive1 | time: 288.676910
arrive1 | time: 288.871918
depart1 | time: 289.643066
arrive1 | time: 289.844055
depart1 | time: 290.031799
depart1 | time: 290.075439
depart1 | time: 290.418396
arrive2 | time: 290.592316
depart1 | time: 290.762238
depart1 | time: 291.115845
depart1 | time: 291.181702
arrive2 | time: 293.066772
arrive1 | time: 293.320587
depart1 | time: 294.040405
arrive1 | time: 295.024506
arrive1 | time: 295.079376
arrive1 | time: 295.963623
arrive1 | time: 296.274445
depart1 | time: 296.345123
arrive1 | time: 296.591125
depart1 | time: 296.601685
depart1 | time: 296.703125
depart1 | time: 296.742859
depart1 | time: 297.126251
arrive1 | time: 297.538910
depart1 | time: 297.849060
arrive1 | time: 297.923370
depart1 | time: 298.194031
arrive1 | time: 298.549866
arrive1 | time: 298.605194
depart1 | time: 298.649078
arrive2 | time: 298.703369
arrive1 | time: 298.927399
depart1 | time: 299.074371
depart1 | time: 299.213470
arrive1 | time: 299.382935
depart1 | time: 300.361237
arrive2 | time: 301.051788
arrive1 | time: 305.182648
arrive1 | time: 305.524933
depart1 | time: 306.364288
depart1 | time: 306.452667
arrive1 | time: 306.508850
arrive1 | time: 306.646484
arrive2 | time: 306.651642
depart1 | time: 306.709076
depart1 | time: 306.812073
arrive2 | time: 307.491119
arrive1 | time: 308.191284
depart1 | time: 309.290619
arrive1 | time: 310.298523
depart1 | time: 310.759186
arrive1 | time: 310.838013
depart1 | time: 310.846985
arrive1 | time: 314.250824
arrive1 | time: 314.819763
arrive1 | time: 315.526642
arrive1 | time: 315.681976
depart1 | time: 315.742310
arrive1 | time: 316.054871
arrive2 | time: 316.394470
depart1 | time: 316.646851
arrive1 | time: 316.884521
arrive2 | time: 317.387238
depart1 | time: 317.644379
arrive1 | time: 318.187531
depart1 | time: 318.266235
arrive2 | time: 318.299316
arrive1 | time: 318.649323
arrive1 | time: 318.912811
arrive1 | time: 319.644348
arrive1 | time: 319.664032
arrive1 | time: 319.709717
arrive1 | time: 320.286804
arrive1 | time: 320.328308
depart1 | time: 320.645020
depart1 | time: 320.805542
depart1 | time: 321.605835
arrive1 | time: 321.662231
depart1 | time: 321.800659
arrive1 | time: 321.965851
depart1 | time: 322.230713
depart1 | time: 322.419128
depart1 | time: 322.514771
depart1 | time: 323.566925
depart1 | time: 324.298828
arrive1 | time: 324.685303
arrive1 | time: 324.795258
arrive1 | time: 325.036682
depart1 | time: 325.218109
depart1 | time: 325.547638
depart1 | time: 325.626007
arrive2 | time: 325.631348
depart1 | time: 325.702911
depart1 | time: 326.428650
arrive1 | time: 326.446747
arrive2 | time: 326.844818
arrive1 | time: 327.001801
depart1 | time: 328.246887
arrive2 | time: 328.346405
depart1 | time: 328.448639
depart1 | time: 328.648224
arrive1 | time: 329.327332
depart1 | time: 329.693695
arrive2 | time: 330.243744
arrive1 | time: 331.224915
depart1 | time: 331.859619
arrive1 | time: 332.212891
depart1 | time: 332.878693
arrive1 | time: 333.058014
arrive1 | time: 333.318787
arrive1 | time: 333.433960
depart1 | time: 333.489868
depart1 | time: 333.534241
arrive1 | time: 333.847839
arrive1 | time: 334.320587
depart1 | time: 334.821625
depart1 | time: 335.075043
arrive2 | time: 335.825104
arrive1 | time: 336.115448
depart1 | time: 336.560638
